I love this weather. Be safe!!	SouthrnBelle18
Don't know why but I like these boots for some reason and they come in handy in muddy and rainy weather like today http://t.co/fA2WrgfqaK	chelsLovespink
Fri 21st Feb 19:36 - The #Weather in #Wymondham is currently Partly Cloudy and 6C | Max: 8C Min: 3C - #MyWeather	My_Weather
RT @COLBeans_: holy shit this weather 	mcgovern_car
This weather. &gt;&gt;&gt;	IloveTristen_
@JeffreyPaulKing Should we talk about the weather??? Should we talk about your next Elementary episode?	bletila
Severe Weather Statement issued February 21 at 2:30PM EST until February 21 at 3:15PM EST by NWS: ...A SEVERE ... http://t.co/RWkqTiJvEe	severewxman
Special Weather Statement issued February 21 at 2:33PM EST by NWS: ...A SIGNIFICANT WEATHER ADVISORY HAS BEEN ... http://t.co/mcTm1rOb4X	severewxman
Special Weather Statement issued February 21 at 2:33PM EST by NWS: ...LOCALIZED WHITEOUTS AND VERY HAZARDOUS D... http://t.co/S8ODHsjk8e	severewxman
I have to drive to jersey in this weather, how lovely someone join me on this ride	ERIN_go_Braagh
Winter Weather Takes Toll on Small Business Revenue: Business owners across the country are experiencing a sig... http://t.co/3NOiak0rZp	smallbizadver
I wanna crawl back in bed and nap but the weather is way too nice to sleep on.	nellyphan_
200 YRS OF LIBERAL RULE STILL BLAMING BUSH FOR THEIR SHORTCOMINGS? LOL LET THEM POUND SAND!! http://t.co/lcGyXNSvKo	bq281473
Lightening and thunder in Ringwood - more NJ weather I forgot about. I have a feeling this is going to be one hell of a weather year for me.	chiaradelucia
United will benefit from warm weather break #SSFootball via @SuperSportTV http://t.co/GkK6tC4uqX	Anthoneymuema
#usNWSgov Special Weather Statement issued February 21 at 2:33PM EST by NWS: ...A SIGNIFICANT WEATHER ADVISORY... http://t.co/utOnPI4wBf	AllTheNewsIsNow
Last of the strong storms now East of Ocean City, MD (2:35 PM). I believe the threat for severe weather has ended for all of MD.	TonyPann
How I feel about the weather today. http://t.co/0lfE75mWHQ	Jordanhasabeard
#usNWSgov Special Weather Statement issued February 21 at 2:33PM EST by NWS: ...LOCALIZED WHITEOUTS AND VERY H... http://t.co/BcqOaWbVsl	AllTheNewsIsNow
@SammyAdebiyi @HeyDeez Think of Hockey as Cold weather Soccer with a clearer offsides rule.	staifer
@spartaness the weather here is getting cooler, blazer has made an appearance ;) @TaniaPV @ccingreece @eugen12 @v_v_vanessa @Melpomuse	LizPata
In stock @bottlespacks! Philly. http://t.co/0QC19Mg7Iq	TrooperUSA
RT @WGGBWeather: 60 in Philly... Warm air will get pinched off before making it in. 40's with showers and downpours.4-7pm. DB http://t.co/C	WGGBSpringfield
RT @yeixo_: Thank God for this day even if the weather's not the best today 	JxM_1997
@lhenderson94 it actually is ! Haha yeah maybe not weather ... Raining now actually ...	2803dmacfarlane
Wearing ski pants to walk the dog - come at me weather!	LouiseDaymond
Winter Weather Takes Toll on Small Business Revenue: Business owners across the country are experiencing a sig... http://t.co/Y3CYWERrsh	RSDCollects
RT @ The weather is beautiful join us tonight at Soundbar!! Say LEVELS for NO COVER before midnight!! http://t.co/4GwpY8v3Cy	DNM_Chicago
Craziness here in Charlotte airport with canceled flight due to weather, but thanks to word traveler airline... http://t.co/iwzXK5OrWi	kathygd
Tryina go to that basketball game to support my amigas but like this weather ain't lookin too cute	altheapulido
RT @shravaka_: Sometimes I just want to go outside completely naked and enjoy the weather. Just me?	staci0889
The weather doesn't get much better than this 	_jazlynr
that cali weather though	__samsa
Loving this weather	TylerCrater
RT @Wait_NoHickies: New Orleans Has Bipolar Ass Weather	_chrissssyy
A thunderstorm  I love this weather	biggie_shawty
I swear Michigans population is going to be very low if this snow won't go away and the weather doesn't heat up.	Kenneywallace
#Boulder #CO #Weather Boulder, Colorado Weather :: 46F PARTLY CLOUDY AND WINDY http://t.co/CmNvZBsi2J	Boulder_Buzz
Local Weather Forecast for Saturday 5 Day Forecast: http://t.co/WT5OiPI1Ja	Albany_Buzz
Early this week, it was gorgeous out. And yet, the kids and I just climbed out of the bath from tornado warnings! http://t.co/QjHw4C4rjK	MamaDevilPup
It's getting to hot for some uggs now . But who knows what charlotte weather gone do?!	kenya_xxoxx
#Weather Burbank, California Weather :: 74F FAIR http://t.co/A0lNCwI7Bs #Burbank #CA	Burbank_Buzz
RT @Keep_UpWithShay: 70-80 degree weather. that's all I want.	x_grapeeJELLY
This weather&lt;&lt;	curlsgalore_
RT @amandamutarelli: women, weed and weather.	Dat_niggamarcus
My mood just skyrocketed in that weather	WhitCravens14
RT @ManUtd: Moyes hopes warm-weather break will help #mufc: We'd rather have been in the FA Cup, but it was great to have some time to tra	INDROONGS_
RT @ Don't let the windy weather get you down! Come on in and visit us today for our weekly wine tasting from... http://t.co/SmjbvBwzwo	DNM_Chicago
Special Weather Statement issued February 21 at 2:13PM EST by NWS http://t.co/c0IYeJa1nk #FLWX	FirstCoastStorm
RT @emilyviolet2012: @jbarillas01: quote this with a selfie expressing how you feel about this weather. http://t.co/zoR3HRuQgf	jbarillas01
RT @Jaay_Neeish: this weather is so tiring 	SkipSkip2myLU
RT @Ralphie_Buttas: Iphone weather better not lie to me	Mutha__Fucker
Severe Weather Statement issued February 21 at 2:28PM EST until February 21 at 3:00PM EST by NWS http://t.co/FMq2AwE36C #FLWX	FirstCoastStorm
RT @ronnieparkinson: This weather is putting me in the greatest mood	thecatesmeow
RT @kramermiller: The weather outside is phenomenal	TG_Bowles
Mom you play too much, stop driving like a maniac in this weather 	Clutch__05
@HazeBoogie @hazeboogiemusic http://t.co/vDDg5Zyr7X listen to my single "Neva hate" #philly #heat #rapgod	_bladethebeast
Wing eating contest for a good cause #WingBowl #Philly #OfficeAntics @ One Liberty Place http://t.co/7iHIU8GpSS	cnatonio
This nice weather brings out the little bit of happiness that I have in me	AnnistennM18
Special Weather Statement issued February 21 at 2:33PM EST by NWS http://t.co/Z7HDVOOlgm #FLWX	FirstCoastStorm
Perfect weather to smoke	StonerLifePorn
Just when you thought the weather was getting good	_Willuminati_
Good weather with old songs #PerfectCombo	Mubashraaa
@SocialMediaShan come to Idaho! The weather changes every hour here :)	abrewi3010
@GoGoMorrow can you tell #Philly school kids why you love music? #PhillylovesYou #OccupyAirwavesSchoolTour #WILM http://t.co/RIOyraFgz4	OccupyAirwaves_
Excess of winter weather cancellations forces districts to lengthen school year http://t.co/nCcALabV0R	amywrites_
RT @xsv_vsx: hittin up a nigga cause its   cuddle weather ass bitches 	Babeekay_
@thegeorgetwins ''sweater weather'' or ''all of me'' YEESSS	GomezIsMyWizard
Sex weather 	CecyVictoriaa
Completely wiped from this week (and it was a short one). Looking forward to warmer weather over the weekend. #tasteofspring	cmnigro
Loving this weather why can't it always fell like this oh yeah it Alabama and the temperature changes more than seasons do........ #dumbshit	SAAJANP92
This weather is making me really happy	ameliadesilva
RT @AmazingPicx: Stop complaning about the weather! Meanwhile in Russia. http://t.co/Q2pBkz3fgk	Negative__9
Happy Friday! Who's loving this spring-like weather?	JennaBrowder
This weather sucks	_JC3
I wish I could stop watching the weather live coverage...but want to while warnings still exist, especially with teenager on the road.	KristinsQuest
This weather is bipolar af .. Can it just be spring already?! 	tayy_tayy21
Songs that always make me feel better: Say Something, Colder Weather, Gas Pedal #trifecta	molly_croce
I think my mood changes with the weather. And Indiana weather is bipolar. Lol	molarmole
can someone please tell me why Philly would have a thunderstorm in the middle of FEBRUARY?! What's wrong with this weather system	KatieV_Music
Fair-weather Patriots	ReubCubed
Haha "@GTaboola: "@Strategy29: Where is He?? "@GTaboola: Cuddling would be great right now! The weather is perfect."swelekile:""D"	Strategy29
Got @aznprincessxo @postalxprincess and I tickets to the Philly Basement date. Everyone get your tickets and come with.	andieexxx
Hardly home, always reppin. Westcoast bound. Philly, I'll see you next week. @ Newark Liberty http://t.co/XemKNqZaE7	Russ_Jack
RT @MIDDUB_MATT: Feeling this weather &gt;	19Superman91
@HublotDreams lol damn I wish we had weather like that	Swaggav3lli
70 degrees?! Check out what I wore to celebrate the beautiful weather on today's blogpost! {Link in http://t.co/O1xDMaOWzP	ashley_hargest
Jolly boating weather	Monique1995
#engl604 news from Philly: http://t.co/am5z3SUqwH #Poetry @FrankSherlock	josephsdsu
@jed28 hope the weather is kind x	sweetcherub
@bez_angela that's good! When you leaving for philly?	SAyy_RAwrr
@connorsimpson The phone suggests it was 0 at 2:53. Halifax was reporting 3 at that time: http://t.co/V0c3gFblz7 #truthers	NealGillis
RT @brittanydani3ls: @Kiaaaa__: She always using the weather as and excuse to not take me nowhere  . RFT 	Kiaaaa__
Remember this weather? @janicecaniglia @J3NNLaC0l0mbian  http://t.co/AbYuM32elq	Miss_Shannel
Absolutely love this weather	GaretSchenker
@jaysonj023: This type of weather makes me so tired. 	Stevie_JII
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	alexialugo19
RT @lhenderson94: @2803dmacfarlane Scotland is just better all round haha. Well maybe not the weather	2803dmacfarlane
Israel Crawford was feeling a little under the weather today.  As you can see after taking it easy with us today... http://t.co/2mwi3n3vm9	BCAH_JC
I'm earning #mPOINTS Rewards in The Weather Channel. http://t.co/79278AGWLF	jackteitsort
RT @weathernetwork: And now back to your regularly scheduled weather.  ;) #GoCanadaGo #WeAreWinter	MichelleKHorner
@MyCleverAlias i'm jealous of everyone else's weather outside of california.  we never got a winter this year! @CalliopeBlabs	j_carroll7
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	0923_marie
RT @pinesroadfinest: Crawfish weather	YellaBoiTC
I'm about be right over akeeil house in this weather .  I can't stay home, it's too depressing	skylerxo_
@cookietime95 oh no. I'll jus work and enjoy the weather :) im dead serious lol I told your mom	SarahColby20
I love this weather!	KTsieg_12
@MNicholson_3: This cuffing weather lmao how'd I know you would say that lol	leojr_6271
2:35pm - Eating #Brunch / Watching #HBO's Looking With Drew / #Photoshoot with Andrew &amp; Mandy, #Perfect weather to make some #photo #magic	SM_Pic
RT @razmonk: Why are y'all bitching about the weather it is BEAUTIFUL so bitch about more important things like people and shoes	MaddyBee27
RT @SM_Pic: 2:35pm - Eating #Brunch / Watching #HBO's Looking With Drew / #Photoshoot with Andrew &amp; Mandy, #Perfect weather to make some #p	QueenCooking
Everyone s should be out side in this beautiful California weather today I'm loving it	dammitdave77
@sportshero_eric @skinnierthanyou Alex this is me calling out due to the inclement weather	amyx727
RT @Drewskii_holt35: Am i weird because i love severe weather?  i find it so interesting	IceBankMiceEllf
The Ohio tropical weather called for a beach #themedthursday @kelechiagomuo @ashley_stie... http://t.co/DqrWUkQQWf http://t.co/dq9XlzRgEA	FilipJotevski
RT @LongLiveZayKing: Weather went from  to 	Get_at_BRI
I wish the weather was always this beautiful 	gaaaaath
RT @grexxo: this weather sucks and its friday which is even worse	bitchableleslie
This weather makes me so happy.	_malloryb
The weather today &gt;&gt;&gt;&gt;&gt;&gt; 	Krystal_Beck_
@NickGregoryFox5 @Fox5NYWeather ugh are the chances high? This season is a weather don't haha	StylishTeach
RT @jos_maddd: PERFECT RUNNING WEATHER 	JakeComo
RT @WhitePplQuote: Finally shorts weather http://t.co/Ten4UdoaZi	ryanmcurran
This is strawberrita weather, whatsssgoooodthoooo	lucasTOOTS
RT @rjd2: Last nite Brooklyn bowl got the biz. Tonite philly-myself @chuckpmusic and @Kharrari are on a mission. Be there! @UnionTransfer	JesCarney
The weather today is nice as fuck 	maiagrace_22
@WMUR9 they said it  supposed to be 50  degrees today i wonder where the warm weather is????	Shayne35757520
WS-10 Wireless Weather Station Customer review:  http://t.co/jwoFz0oi1R http://t.co/eonQwHv1T1	ambientweather
I just can't with the weather anymore	alexsavre
Warm weather and lovely #sunshine!	DrDonaldHudson
This is the type of weather where you take the long way home with the windows down and radio up. And maybe in jus a sports bra...	BerryyyGood
Total cuddle weather!	TxslutinDC
Loving this weather 	tifani_oliver
RT @RCalabroTully: .@FERC: US power system faces many threats, including #cyber attacks, geomagnetic disturbances &amp; bad weather. http://t.c	MarkFHand
Ian Thomsen on air right now talking #Sixers: "I dont think Philly will be looking to add anything in free agency this off season."	973espn
Sitting in a plane waiting... Dallas weather is great.. Nj not so much. #njweathersux	ajcband
Perfect weather to get drunk tomake. A plan. #SAPINGtime	sexysugapops
i love this weather 	emily__dvorak
When the weather break imma be like ... https://t.co/MmDd7VzCSr	STACKZ_201
RT @karriganmaxwell: enjoying this nice weather by staring at it from inside	jessxcuh
I'm really getting in the warm weather spirit! I shaved my legs today!  coming out of hibernation!	Katiehurlbutt
RT @jmiriam54: The weather in Salt Lake City though &gt;&gt;&gt; 	Tonyy_Tonee
This weather makes me blast music and dance around my house #sorryjohnny  If you're trying to nap	temple_asia
RT @NoahMoss1: I love cruising in this weather	thatgirl_lohawk
RT @SirJoshuua: I love this jeans and t shirt weather. I can't handle layers much longer	yesiiii_g
RT @PhillySoc: @officialsouthst #philly #mardigras parade  sun @CopaBananaSouth @RedwoodBistro @ONealsPubPhilly @PWSouthStreet @DowneysPub 	AversaPR
@madisonwichman shit in this weather thats a plus they dont get wet then	DonHennessy1
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	MattHunterTwerk
RT @colesghost: MN weather be like http://t.co/gQdZvTYE14	SalinaKeohavong
This weather 	FVOXOEAJ
everyone's over here like "omg thunder, I love this kind of weather." and I'm over here like "when's this going to be over? I hate this."	_adeoliv_
RT @1SteveBurton: Have a great day. :) c u soon east coast. I hear the weather will be good! @BfordAnderson and I are looking forward to it	MikaleWalcott
RT @NealGillis: @connorsimpson The phone suggests it was 0 at 2:53. Halifax was reporting 3 at that time: http://t.co/V0c3gFblz7 #truthers	connorsimpson
and this looks like the April showers bring May flowers type weather, if it is we made it	letmelivee
@jaxsteinbach or like come to Philly or something okay cool	CharlesPildis
RT @WyattEverhart: #Severe Weather pushing east, Check out the massive roll cloud from Tangier Island! (from: Carol Marie Pruitt-Moore) htt	duckydynamo
Don't get me wrong, I hate rain. But this warmer weather makes me excited for spring. 	hbrewerr
RT @AP: Philly police say tinted windows, snow obscured dead body in front seat of car that was ticketed multiple times: http://t.co/RaDfPf	imadeulook14
The weather today 	Cesssieereee
Looking proper forward to summer, just want some warm weather 	kezza_swfcx
RT @DatprettyMFR: This that cuddling weather after that passionate....	ICON_Modeling
RT @andieexxx: Got @aznprincessxo @postalxprincess and I tickets to the Philly Basement date. Everyone get your tickets and come with.	postalxprincess
This weather gets me so excited for summer 	brynnn28
RT @clauds_goodwin: I LOVE THIS WEATHER	taylor_epstein1
Can the @Athletics games come any sooner? I need some nachos, beers and and great weather in my life.	pena510
When I updated my phone the last time I lost my weather app and now I never know whats happening.	CrunchyTaterTot
LMFAOOOOOOOOOO BUT WAIT "@kodakk6000: Nature is enjoying this nice Atlanta Weather today http://t.co/02LNbVzsG2"	CALIPORNIFIED
In not well but still going out in this weather 	Gladdiie
This is chill weather	DomTurn_Heads
@Purple_Sneakers @ItsCeeRiv  This weather is insane!!	Twiglet167
I'm not going anywhere in this weather.	MsDeijaMorales
This weather is messing with my feelings 	moo_oink_bamm
Hey got a 2nd for quick weather report?  Showing teachers power of twitter:  https://t.co/rJ1TfiQBS8 Please RT	catlett1
Beyond pissed right now, this weather and not having my game uniform is just too much in one day.	loundjieee
this is running weather why am I stuck at work ?! 	kolbsmarie93
This weather is the best thing to happen in months	katiehesss
@MAGCONTOUR @BartBordelon so how about coming to philly????	AlexArrigalexoO
Once I get home I'm definitely not leaving my house. This is super boo loving weather	callme_MOE
I'm earning #mPOINTS Rewards in The Weather Channel. http://t.co/RRaIEoRMEp	Marcwilson0727
At least the weather isn't shitty anymore	_rebeccaoconnor
RT @AngelaGordiano8: The weather is perfect 	_ShinehahShae
RT @SalArmyCenOh: With spring weather approaching...this is a great idea! http://t.co/7VBbszDaYr	SalvationArmyNJ
Winter Weather Takes Toll on Small Business Revenue http://t.co/gCky0UT4g0	GoldStarNYC
Winter Weather Takes Toll on Small Business Revenue: Biz2Credit crunched its customers revenue numbers and found... http://t.co/JYJDOp26az	OTGNCanada
This is sit home and cuddle with your dog weather,not go to red robin weather 	Lindsaylouuwhoo
The weather today was unbelievably nice, actually didn't mind walking a couple of blocks to the station	Ndrew7
RT @TheRealJeffRee: Started the #weekend off right by running a couple of laps around the #RoseBowl. Still loving this 75 degree winter wea	LATimescitybeat
I dressed according to the weather perfectly today	edydakota
BIG thanks to @dgranger33 for his years of loyalty to the @Pacers even when we were rebuilding. Good luck in Philly my man!	benwasilewski
Check out how sunny and warm your weekend will be but cooler and wet weather will return next week. http://t.co/o6hyrHqDO5	KCRAdverdoorn
@LucaLockheart post season , I think them trading granger a mistake if he gets bought out by philly and ends up heat lol so funny	craigleedabest
Fri 21st Feb 19:37 - The #Weather in #Heywood is currently Moderate or heavy rain shower and 6C | Max: 8C Min: 2C - #MyWeather	My_Weather
RT @NerlensNoel3: Great workout w/ Coach Foster this morning. Can't wait to put on for Philly !! #CantStopTheGrind	Dcups329
Aw, my lil' butt is under the weather. Chamomile tea time! http://t.co/viysWJZnxM	elenamuntean
RT @matthunter123: Just chillen, wondering weather to release the FF today or do a suprise twitcam... http://t.co/Ad7Sf4bqJY	ItsAmyHernandez
@PaulyBrennan lmfao I'm talking about the weather	grillo_ant
#weather #instaweather #instaweatherpro  #sky #outdoors #nature #world #love #followme #follow	FollowTrainFF
RT @EmblemThree: Lets party, Philly!!! Come to @TowerTheater tonight. We wanna see you ;) #bandlife http://t.co/OdCX1HEYNv	dontfgkngpanic
Wow the weather is just dandy 	kendallbreuer5
Winter Weather Takes Toll on Small Business Revenue: Biz2Credit crunched its customers revenue numbers and found... http://t.co/xIsoNcTtPQ	Tradingsocialca
@TFellbaum Good luck, and we hope the weather's kind!	SalfordUni
The weather is fine? Like that's so annoying	maddiee_raley
My god the weather is fantastic today 	ahomiine
This weather got me like 	SaniyahF1
RT @TweetorlessAlly: THIS WEATHER IS NOT HAIR FRIENDLY	SarahQayyum1
Perfect weather for a walk with this handsome guy http://t.co/MUZH49zHap	Sarah_Harmy
This weather is beat rn	lesliieexo_
try to block it out, Steph. don't listen. ahhhh the weather is so bad. tweeting tweeting tweeting. it's colder inside than outside.	stephkvill
RT @MNicholson_3: This cuffing weather lmao	darkness_risin8
@neilphotograffa bull dogs? Pork pies? Fish &amp; Chips? Bad weather? I give up....	KarenPH0T0
RT @moretaa_: New Jersey has the worst weather ever.	Alanis2fab
Is it too soon to take the doors and top off my jeep? This weather is perfect. 	kayleighnelsonn
With a name like Sam Champion, he had to have known he'd grow up to be a weather anchor, right?	SamanthaJChin
Nooooo Granger Headin Out to #Philly  Let's Not forget He was an #Allstar that avg. http://t.co/ilRwtzOTSl	J_Prince123
What can't the weather always be this breezy.	is_justice_ice
Weather is bangin brah	MuslimTastebuds
RT @jmiriam54: The weather in Salt Lake City though &gt;&gt;&gt; 	Jon1_rivers
RT @SF_DavePhillips: Severe weather warning remains in some areas. Hail, wind, heavy rain. Driving Tips http://t.co/4SacS4IR4H	frankiemlt
RT @GloriaBB2: No matter the weather, we are taking a walk on the beach this weekend. #fbf http://t.co/gpdyczIpxT	_Matt_Photos
RT @kodakk6000: Nature is enjoying this nice Atlanta Weather today http://t.co/8AEUFJkBrI	CurlyTopp_36
RT @DatprettyMFR: This that cuddling weather after that passionate....	xo_TrueBelle
Song match the weather http://t.co/sETg6LKsef	OhThatMarco
Ppl be like cuddle weather and I'm like this is sleep weather	Prettymaryah_
I want this weather year round please	trevor_setty
RT @AmandaL0renz: Not only is this the best weather, but it's also melting the snow 	ZaxleeJewel
@hbrewerr: Don't get me wrong, I hate rain. But this warmer weather makes me excited for spring. 	AmandaJoyy15
@zaynbanss idk maybe sweather weather or counting stars	unicorn4ever1
This weather scares me 	ericca_lynn
This weather is so nice	lilcurrah
RT @anniedungan_: This weather is beautiful!! Hope it's here to stay! 	close_mollie
Fri 21st Feb 19:37 - The #Weather in #Oxford is currently Moderate or heavy rain shower and 6C | Max: 8C Min: 2C - #MyWeather	My_Weather
I really wanted to go down southwest but the way this weather looking  NOPE	TweetOnThisss_
RT @D_Pryor16: And here's another tease of warm weather 	CaseyPSUgym
Let's sit inside and look at how nice it is outside after we've griped about the weather for weeks.	kris3034
@zaynspuma I like it here it's tornado weather rn and tornado weather is my favorite weather..... without the tornados	nashbiebers
@OliviaDierickx you're horrible at checking the weather	FatStakz
weather http://t.co/Y9wYHy8l7j	nalder_caitlin
@anettamorray you guys can keep the hockey, we'll keep our weather..  Miami Beach 83 degrees F..  Medicine Hat -117193872681671 degrees F xD	ProjectMonocle
@Macca_boy85 I'm hoping I've recovered . Been ill as!! See in the morning. Carew home. Yeah weather is shit bruv	Lee_Stono_7
"@JdotDenmark23: Ready for some hot weather again! #flashbackfriday  http://t.co/1vgd3E2CrD" 	QueenCapri
RT @___olive___: Lovely weather we're having http://t.co/GOfgyTZQGl	pbandgillyyy
Fri 21st Feb 19:37 - The #Weather in #Wallingford is currently Clear and 6C | Max: 9C Min: 2C - #MyWeather	My_Weather
Love this weather	KayleyDillon9
I love this weather	Kellie_Frain
Eeekz! Can't wait for some nice weather!	mrstracymills
How was the warm weather &amp; #drought affected #organic #berries in the off season? http://t.co/74caONePfr http://t.co/DBxlMujoHQ	earlsorganic
This gloomy ass weather is making me so sleepy, I just want some sunshine in my life again.	mariellekendra
The weather is so nice today 	callandrussell
RT @drugpost: I can't wait till that 75-85 degree weather 	a_bopst92
RT @WyattEverhart: #Severe Weather pushing east, Check out the massive roll cloud from Tangier Island! (from: Carol Marie Pruitt-Moore) htt	ABC2Weather
RT @FYeahItsHazel: Severe t-storms and tornado watch. Weather, you're drunk. Go home.	KathCLeSage
#NOAA has issued a #severe #weather alert for #AtlanticCounty, NJ Special Weather Statement issued February 21 a... http://t.co/d5sxZKvS62	shoreweather
My mom's gonna be leaving me by myself at home to go pick up my sister whAT IF A TORNADO COMES OMG I DONT LIKE BEING ALONE IN THIS WEATHER	RicklesPickle
Being stuck in an airport due to bad weather is one of the most powerless feelings there is..  And there is nothing u can do.	MATTHARDYBRAND
#NOAA has issued a #severe #weather alert for #AtlanticCounty, NJ Flood Advisory issued February 21 at 2:09PM ES... http://t.co/x7kabR99tH	shoreweather
this weather is perfect 	itsalexaandria
New Rule: If the weather outside is nice, bring your dog to work! Trust me, your co-workers won't mind :) http://t.co/ktNMM9cwqV	KungFuPimp
RT @TaZz_37: Only in NC do we get 6 inches of snow, 70 degree weather, tornado, then snow again within a 1week period 	Kirsch_Daddy
The weather this week is just not cool	napo_6
RT @16Mike_Mone: This weather is more beautiful than some of these girls. 	HiyaPrincess
#NOAA has issued a #severe #weather alert for #AtlanticCounty, NJ Severe Weather Statement issued February 21 at... http://t.co/bTfdrqkT3Y	shoreweather
@FOREST_GRUMPPP will u pick me up and drive me back to Philly with you?	kmull15
My parents don't trust me driving in this weather.... I wouldn't either !! It okay	annaribi
I should have stayed in Philly.	_TEAJack
Feeling happy even through this nastee weather 	nahehehe
#NOAA has issued a #severe #weather alert for #AtlanticCounty, NJ Severe Thunderstorm Warning issued February 21... http://t.co/v2TQjgii11	shoreweather
RMFT "@katmeza1994: I want a philly cheese steak "	Illability
RT @Prettymaryah_: Ppl be like cuddle weather and I'm like this is sleep weather	CuffDaddiDee
Just said "the sky is so black" and Kristi looks at me and says "this guy? What guy" ....common North Philly mixup 	baby_kayyc
This weather is messing with my mood.	CharliexBlue
The weather is being cool http://t.co/YJnf2n7OcF	zematthewhowell
Tonight! #philly #philly_streetart #phillyhiphop http://t.co/c9rGcG06QI	GetUpArt
RT @DatprettyMFR: This that cuddling weather after that passionate....	AyePeaches_
It's pretty fucking cool that people can predict the weather if you think about it	PhilipNew_man
this weather feels so good, the only thing I hate is my damn allergies. 	_iWantTheKAIke
I'm excited for the spring because I want nice weather and to drive all over nj and go to ny and philly whenever and spring tours	thugdaddylex
Cool Weather at Orchard	Boy_Perasan
Vegas weather be so right  I'm bout to tan 	seecnotouch
Breezy weather 	Yachykealoha
Police In Twin Falls Search For Missing Teen Tyler Pettry | KMVT | Twin Falls, ID News, Weather and Sports | Idaho http://t.co/GORuW6k1TE	IHaveVanished
RT @dirrtty_dannn: This weather is perfect	thelouienator82
37 and raining might be the worst weather ever	alexcantor8
RT @DrewGotShoes: Weather is bipolar as shit	BrandonXI
Thought you pet lovers might enjoy this.  Hope everyone has a great weekend! The weather sure is nice!... http://t.co/re3cStDCtf	AbbyMalonePhoto
RT @DoeBlock_Stacks: @WhitePplQuote: Finally shorts weather http://t.co/klC6LQsaov @RealTroyWeiss	RealTroyWeiss
If the weather stayed like this for a while I'd be ok	EyeAmAustin
Perfect weather to drive back to St. Louis. 	NickNoto_
Oh, the weather outside is trifling and traffic on 64 is pilling	Rob_iTussin
This is T-shirt and shorts weather	Donnie_2016_73
RT @UNLincoln: The weather in #LNK can be a funny thing. Check out this 7-hour before/after photo from #Judsonbwx: #UNL http://t.co/IceKTeW	ScottKarlisJr
UPDATE Wausau fire displaces family of four - WFXS, MyFoxWausau - News and Weather for Wausau, WI http://t.co/sfsQujFEpq	WFXS
this weather needs to gtfo	Jess_dora
Bad weather = empty gym #score	KarooYGM
My desire to nap has increased by 1000 bc of that big lunch and the weather 	ElizabethL78
This weather is putting me in a great mood for the weekend 	Carmm7
RT @okyeez: Michigan weather as usual. Don't act brand new yall 	JackGarciaStamp
Are you a fair weather Christian/believer following God only when everything is going well or what you can get off of God?	timothydockery
If someone could explain to me how the weather works it would be greatly appreciated.	LarynnD
This weather reminds me of a cheesy horror movie, idk why.	Devan_lucy
@edydakota: I dressed according to the weather perfectly today *Pretends to care*	RomalisxScott
I should be having sex right now with this weather	CarolLantigua
We know Georgia Weather is a man because it can't stay committed to shit	FuckTanner
@StewyMelbourne is it still nice weather stewy.whats your plans for the weekend?	linc52
Eater Tastings: Best New Burgers; Philly's 2014 James Beard Semifinalists: Seems like almost everyone agrees that... http://t.co/fHfLlLouQv	PhillyRENews
RT @karakosmer: nice weather always puts me in a good mood	rennnym
RT @Greeegggg: Louisville weather http://t.co/0udjYNn9Fo	Amel_MVP
We don't care about the weather outside, Spring is in the air here at Westchester Candle Co. with floral scents of English Garden &amp; Lilac	Ali_WCC
Snow 2 weeks a go to a tornado warning today. North Carolina weather is bipolar as fuck	PrestonMorris81
How I feel about this weather. #snowedin http://t.co/Rx9mGrzNqe	sidneygrady
is there any weather phenomenon grosser than rained-on snow	spookyDichotomy
Badass weather to just have sex outside infront of everyone lol	bigchileangel
@porphyry67 it was beautiful! So lucky with the weather :)	hmgflyer
#swinglife with @khrystsinaaa It's the best way to enjoy this weather. http://t.co/6QiuQYN6ok	4estlane
How has the warm weather &amp; #drought affected #organic #berries in the off season? http://t.co/QRMZMfYAWj  http://t.co/DBxlMujoHQ	earlsorganic
It such a nice day outside. It's tough to beat Louisiana weather.	TheThighTickler
RT @black0ceanss: you know you're canadian when -5 is considered t-shirt weather	pietrowski_t
RT @BurnabyHomeless: Burnaby Extreme Weather Shelter open Feb 21,22,23 http://t.co/A9tnfMpVh2 @CityofBurnaby @BurnabyRCMP @BurnabyNOW_News 	BurnabyRCMP
RT @iPartyTooHard_: RT if you have weather like this... http://t.co/BRYe8aPv8n	_KissinGxxd
RT @AliciaLimehous3: Jay Shoulda Been In Philly So We Can Get Naughty Naughty NAUGHTYYY	Who_Is_JayMaple
RT @RACKDupRACKDout: Dis dat duck off weather 	LegendaryQuan
Not banging on, BUT if you've got an arse, haul it on down to @UplandsMarket tomorrow. Check this weather report. RT http://t.co/VxHKt5USlN	thephillycheese
RT @UNLincoln: The weather in #LNK can be a funny thing. Check out this 7-hour before/after photo from #Judsonbwx: #UNL http://t.co/IceKTeW	DMarSuperman
That Philly cheesesteak was on point	n0_Ch1ll
